state,district,rating,source_name,source_url,as_of_date,incumbent_name,incumbent_party,notes
CA,21,Likely Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Costa,,Cook listing; incumbent party not inferred
CA,48,Lean Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Issa),,Cook listing; incumbent party not inferred
NE,02,Lean Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Bacon),,Cook listing; incumbent party not inferred
NM,02,Lean Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Vasquez,,Cook listing; incumbent party not inferred
NV,03,Lean Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Lee,,Cook listing; incumbent party not inferred
NY,03,Lean Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Suozzi,,Cook listing; incumbent party not inferred
NY,04,Lean Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Gillen,,Cook listing; incumbent party not inferred
OH,01,Lean Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Landsman,,Cook listing; incumbent party not inferred
TX,28,Lean Democrat,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Cuellar,,Cook listing; incumbent party not inferred
FL,14,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Castor,,Cook listing; incumbent party not inferred
FL,25,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Moskowitz,,Cook listing; incumbent party not inferred
OH,09,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Kaptur,,Cook listing; incumbent party not inferred
TX,34,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Gonzalez,,Cook listing; incumbent party not inferred
WA,03,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Perez,,Cook listing; incumbent party not inferred
AZ,01,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Schweikert),,Cook listing; incumbent party not inferred
AZ,06,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Ciscomani,,Cook listing; incumbent party not inferred
CA,22,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Valadao,,Cook listing; incumbent party not inferred
CO,08,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Evans,,Cook listing; incumbent party not inferred
IA,01,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Miller-Meeks,,Cook listing; incumbent party not inferred
IA,03,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Nunn,,Cook listing; incumbent party not inferred
MI,07,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Barrett,,Cook listing; incumbent party not inferred
MI,10,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (James),,Cook listing; incumbent party not inferred
NJ,07,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Kean Jr.,,Cook listing; incumbent party not inferred
NY,17,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Lawler,,Cook listing; incumbent party not inferred
OH,07,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Miller,,Cook listing; incumbent party not inferred
PA,07,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Mackenzie,,Cook listing; incumbent party not inferred
PA,08,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Bresnahan,,Cook listing; incumbent party not inferred
PA,10,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Perry,,Cook listing; incumbent party not inferred
VA,02,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Kiggans,,Cook listing; incumbent party not inferred
WI,03,Toss Up,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Van Orden,,Cook listing; incumbent party not inferred
FL,22,Lean Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Frankel),,Cook listing; incumbent party not inferred
IA,02,Lean Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Hinson),,Cook listing; incumbent party not inferred
MI,04,Lean Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Huizenga,,Cook listing; incumbent party not inferred
NC,01,Lean Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Davis,,Cook listing; incumbent party not inferred
NC,11,Lean Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Edwards),,Cook listing; incumbent party not inferred
TX,15,Lean Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,De La Cruz,,Cook listing; incumbent party not inferred
VA,01,Lean Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Wittman,,Cook listing; incumbent party not inferred
AK,AL,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Begich III,,Cook listing; incumbent party not inferred
AL,02,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Figures,,Cook listing; incumbent party not inferred
AZ,02,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Crane,,Cook listing; incumbent party not inferred
CO,03,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Hurd,,Cook listing; incumbent party not inferred
CO,05,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Crank,,Cook listing; incumbent party not inferred
FL,07,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Mills),,Cook listing; incumbent party not inferred
FL,09,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Soto,,Cook listing; incumbent party not inferred
FL,13,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Luna,,Cook listing; incumbent party not inferred
FL,27,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Salazar,,Cook listing; incumbent party not inferred
KY,06,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Barr),,Cook listing; incumbent party not inferred
ME,02,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Golden),,Cook listing; incumbent party not inferred
MN,01,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Finstad,,Cook listing; incumbent party not inferred
MO,02,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Wagner,,Cook listing; incumbent party not inferred
MT,01,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Zinke),,Cook listing; incumbent party not inferred
OH,10,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Turner,,Cook listing; incumbent party not inferred
OH,15,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Carey,,Cook listing; incumbent party not inferred
PA,01,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Fitzpatrick,,Cook listing; incumbent party not inferred
SC,01,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Mace),,Cook listing; incumbent party not inferred
TX,23,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,VACANT,,Cook listing; incumbent party not inferred
TX,35,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,OPEN (Casar),,Cook listing; incumbent party not inferred
WI,01,Likely Republican,Cook Political Report,https://www.cookpolitical.com/print/ratings/races/house,2026-09-11,Steil,,Cook listing; incumbent party not inferred
